"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.742910061E0,5.900000036E-2,-3.799999878E-2,-7.299999893E-2
1.747845989E0,5.900000036E-2,-6.300000101E-2,1.999999955E-2
1.752782044E0,5.900000036E-2,-6.300000101E-2,1.999999955E-2
1.757718099E0,5.900000036E-2,-6.300000101E-2,1.999999955E-2
1.762654044E0,-1.049999967E-1,-1.369999945E-1,1.899999939E-2
1.767589625E0,-1.049999967E-1,-1.369999945E-1,1.899999939E-2
1.772525206E0,-1.049999967E-1,-1.369999945E-1,1.899999939E-2
1.777460784E0,-1.049999967E-1,-1.369999945E-1,1.899999939E-2
1.782396697E0,-1.599999964E-1,-8.500000089E-2,9.799999744E-2
1.787332582E0,-1.599999964E-1,-8.500000089E-2,9.799999744E-2
1.792268467E0,-1.599999964E-1,-8.500000089E-2,9.799999744E-2
1.797204789E0,-6.499999762E-2,8.299999684E-2,1.650000066E-1
1.802141130E0,-6.499999762E-2,8.299999684E-2,1.650000066E-1
1.807077471E0,-6.499999762E-2,8.299999684E-2,1.650000066E-1
1.812013677E0,8.000000380E-3,1.449999958E-1,-1.209999993E-1
1.816949908E0,8.000000380E-3,1.449999958E-1,-1.209999993E-1
1.821886139E0,8.000000380E-3,1.449999958E-1,-1.209999993E-1
1.826822273E0,-1.400000043E-2,1.469999999E-1,-2.989999950E-1
1.831758334E0,-1.400000043E-2,1.469999999E-1,-2.989999950E-1
